model,mode,gate,arm,case,sgroup,D,outcome,p0,extra
meta-llama/Llama-3.2-3B,cot,gate0,baseline,0,scarlet,3099490,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,0,scarlet,3099490,CORRECT,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,0,scarlet,3099490,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,0,scarlet,3099490,OTHER,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,1,indigo,7364070,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,1,indigo,7364070,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,1,indigo,7364070,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,1,indigo,7364070,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,2,white,1776466,CORRECT,0.0007,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,2,white,1776466,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,2,white,1776466,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,2,white,1776466,WRONG_DISTRACTOR,0.0006,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,3,white,8035866,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,3,white,8035866,CORRECT,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,3,white,8035866,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,3,white,8035866,OTHER,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,4,scarlet,6287951,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,4,scarlet,6287951,OTHER,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,4,scarlet,6287951,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,4,scarlet,6287951,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,5,white,3430050,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,5,white,3430050,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,5,white,3430050,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,5,white,3430050,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,6,grey,3901988,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,6,grey,3901988,OTHER,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,6,grey,3901988,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,6,grey,3901988,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,7,white,2951458,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,7,white,2951458,OTHER,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,7,white,2951458,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,7,white,2951458,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,8,navy,1592874,CORRECT,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,8,navy,1592874,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,8,navy,1592874,WRONG_DISTRACTOR,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,8,navy,1592874,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,9,teal,5993000,CORRECT,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,9,teal,5993000,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,9,teal,5993000,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,9,teal,5993000,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,10,black,4873453,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,10,black,4873453,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,10,black,4873453,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,10,black,4873453,OTHER,0.0005,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,11,crimson,8953739,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,11,crimson,8953739,OTHER,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,11,crimson,8953739,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,11,crimson,8953739,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,12,red,9676148,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,12,red,9676148,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,12,red,9676148,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,12,red,9676148,WRONG_DISTRACTOR,0.0004,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,13,teal,9603810,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,13,teal,9603810,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,13,teal,9603810,OTHER,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,abl_CD,13,teal,9603810,WRONG_DISTRACTOR,0.0003,
meta-llama/Llama-3.2-3B,cot,gate0,baseline,14,maroon,8292567,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_AB,14,maroon,8292567,WRONG_DISTRACTOR,0.0002,
meta-llama/Llama-3.2-3B,cot,gate0,abl_BC,14,maroon,8292567,WRONG_DISTRACTOR,0.0003,
