model,mode,gate,arm,case,sgroup,D,outcome,p0,extra
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,0,scarlet,3099490,CORRECT,0.796,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,0,scarlet,3099490,OTHER,0.8299,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,0,scarlet,3099490,CORRECT,0.7741,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,0,scarlet,3099490,WRONG_DISTRACTOR,0.8051,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,1,indigo,7364070,CORRECT,0.7492,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,1,indigo,7364070,CORRECT,0.7723,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,1,indigo,7364070,WRONG_DISTRACTOR,0.7866,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,1,indigo,7364070,WRONG_DISTRACTOR,0.7937,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,2,white,1776466,CORRECT,0.862,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,2,white,1776466,OTHER,0.8653,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,2,white,1776466,CORRECT,0.8703,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,2,white,1776466,WRONG_DISTRACTOR,0.8346,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,3,white,8035866,WRONG_DISTRACTOR,0.8082,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,3,white,8035866,CORRECT,0.8234,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,3,white,8035866,WRONG_DISTRACTOR,0.8382,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,3,white,8035866,WRONG_DISTRACTOR,0.7211,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,4,scarlet,6287951,WRONG_DISTRACTOR,0.7301,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,4,scarlet,6287951,WRONG_DISTRACTOR,0.7394,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,4,scarlet,6287951,WRONG_DISTRACTOR,0.7098,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,4,scarlet,6287951,WRONG_DISTRACTOR,0.7429,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,5,white,3430050,CORRECT,0.7599,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,5,white,3430050,CORRECT,0.7316,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,5,white,3430050,CORRECT,0.7576,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,5,white,3430050,WRONG_DISTRACTOR,0.7434,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,6,grey,3901988,CORRECT,0.8221,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,6,grey,3901988,WRONG_DISTRACTOR,0.8546,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,6,grey,3901988,CORRECT,0.838,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,6,grey,3901988,WRONG_DISTRACTOR,0.813,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,7,white,2951458,WRONG_DISTRACTOR,0.7505,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,7,white,2951458,OTHER,0.7847,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,7,white,2951458,WRONG_DISTRACTOR,0.7841,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,7,white,2951458,WRONG_DISTRACTOR,0.7139,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,8,navy,1592874,CORRECT,0.8362,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,8,navy,1592874,CORRECT,0.8277,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,8,navy,1592874,CORRECT,0.8457,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,8,navy,1592874,WRONG_DISTRACTOR,0.8083,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,9,teal,5993000,WRONG_DISTRACTOR,0.7555,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,9,teal,5993000,WRONG_DISTRACTOR,0.7465,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,9,teal,5993000,WRONG_DISTRACTOR,0.7641,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,9,teal,5993000,WRONG_DISTRACTOR,0.7593,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,10,black,4873453,CORRECT,0.799,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,10,black,4873453,OTHER,0.7943,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,10,black,4873453,CORRECT,0.7961,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,10,black,4873453,WRONG_DISTRACTOR,0.7968,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,11,crimson,8953739,WRONG_DISTRACTOR,0.7444,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,11,crimson,8953739,OTHER,0.7555,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,11,crimson,8953739,WRONG_DISTRACTOR,0.792,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,11,crimson,8953739,WRONG_DISTRACTOR,0.7405,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,12,red,9676148,WRONG_DISTRACTOR,0.8472,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,12,red,9676148,WRONG_DISTRACTOR,0.8462,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,12,red,9676148,WRONG_DISTRACTOR,0.8437,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,12,red,9676148,WRONG_DISTRACTOR,0.8095,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,13,teal,9603810,WRONG_DISTRACTOR,0.8019,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,13,teal,9603810,CORRECT,0.8212,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,13,teal,9603810,WRONG_DISTRACTOR,0.8251,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,13,teal,9603810,WRONG_DISTRACTOR,0.8046,
meta-llama/Llama-3.2-3B,implicit,gate0,baseline,14,maroon,8292567,WRONG_DISTRACTOR,0.7979,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_AB,14,maroon,8292567,WRONG_DISTRACTOR,0.7763,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_BC,14,maroon,8292567,WRONG_DISTRACTOR,0.8141,
meta-llama/Llama-3.2-3B,implicit,gate0,abl_CD,14,maroon,8292567,WRONG_DISTRACTOR,0.7992,
