model,mode,gate,arm,case,sgroup,D,outcome,p0,extra
Qwen/Qwen2.5-3B,implicit,gate0,baseline,0,scarlet,3099490,CORRECT,0.9461,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,0,scarlet,3099490,CORRECT,0.6087,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,0,scarlet,3099490,CORRECT,0.9218,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,0,scarlet,3099490,WRONG_DISTRACTOR,0.9438,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,1,indigo,7364070,WRONG_DISTRACTOR,0.9549,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,1,indigo,7364070,WRONG_DISTRACTOR,0.8387,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,1,indigo,7364070,WRONG_DISTRACTOR,0.9469,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,1,indigo,7364070,WRONG_DISTRACTOR,0.9513,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,2,white,1776466,CORRECT,0.8646,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,2,white,1776466,CORRECT,0.5548,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,2,white,1776466,CORRECT,0.9015,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,2,white,1776466,WRONG_DISTRACTOR,0.9264,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,3,white,8035866,CORRECT,0.8928,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,3,white,8035866,CORRECT,0.5868,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,3,white,8035866,CORRECT,0.8953,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,3,white,8035866,WRONG_DISTRACTOR,0.8021,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,4,scarlet,6287951,WRONG_DISTRACTOR,0.9081,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,4,scarlet,6287951,WRONG_DISTRACTOR,0.9253,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,4,scarlet,6287951,WRONG_DISTRACTOR,0.9025,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,4,scarlet,6287951,WRONG_DISTRACTOR,0.9071,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,5,white,3430050,CORRECT,0.9281,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,5,white,3430050,CORRECT,0.721,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,5,white,3430050,CORRECT,0.9026,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,5,white,3430050,WRONG_DISTRACTOR,0.8967,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,6,grey,3901988,CORRECT,0.8745,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,6,grey,3901988,WRONG_DISTRACTOR,0.539,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,6,grey,3901988,CORRECT,0.8841,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,6,grey,3901988,WRONG_DISTRACTOR,0.8146,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,7,white,2951458,WRONG_DISTRACTOR,0.8875,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,7,white,2951458,WRONG_DISTRACTOR,0.6503,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,7,white,2951458,WRONG_DISTRACTOR,0.8817,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,7,white,2951458,WRONG_DISTRACTOR,0.9079,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,8,navy,1592874,CORRECT,0.905,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,8,navy,1592874,CORRECT,0.6542,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,8,navy,1592874,CORRECT,0.9082,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,8,navy,1592874,WRONG_DISTRACTOR,0.9226,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,9,teal,5993000,WRONG_DISTRACTOR,0.9191,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,9,teal,5993000,WRONG_DISTRACTOR,0.7132,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,9,teal,5993000,WRONG_DISTRACTOR,0.9142,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,9,teal,5993000,WRONG_DISTRACTOR,0.8831,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,10,black,4873453,WRONG_DISTRACTOR,0.8963,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,10,black,4873453,WRONG_DISTRACTOR,0.6059,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,10,black,4873453,WRONG_DISTRACTOR,0.8857,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,10,black,4873453,WRONG_DISTRACTOR,0.8996,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,11,crimson,8953739,WRONG_DISTRACTOR,0.9341,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,11,crimson,8953739,WRONG_DISTRACTOR,0.7256,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,11,crimson,8953739,WRONG_DISTRACTOR,0.9312,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,11,crimson,8953739,WRONG_DISTRACTOR,0.9345,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,12,red,9676148,WRONG_DISTRACTOR,0.768,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,12,red,9676148,WRONG_DISTRACTOR,0.6051,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,12,red,9676148,WRONG_DISTRACTOR,0.7528,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,12,red,9676148,WRONG_DISTRACTOR,0.7343,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,13,teal,9603810,WRONG_DISTRACTOR,0.9136,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,13,teal,9603810,CORRECT,0.7345,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,13,teal,9603810,WRONG_DISTRACTOR,0.9162,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,13,teal,9603810,WRONG_DISTRACTOR,0.9156,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,14,maroon,8292567,WRONG_DISTRACTOR,0.8946,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,14,maroon,8292567,WRONG_DISTRACTOR,0.6913,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,14,maroon,8292567,WRONG_DISTRACTOR,0.8851,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,14,maroon,8292567,WRONG_DISTRACTOR,0.8771,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,15,copper,7334003,WRONG_DISTRACTOR,0.836,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,15,copper,7334003,WRONG_DISTRACTOR,0.7754,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,15,copper,7334003,WRONG_DISTRACTOR,0.8518,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,15,copper,7334003,WRONG_DISTRACTOR,0.7923,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,16,green,7388902,WRONG_DISTRACTOR,0.8698,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,16,green,7388902,WRONG_DISTRACTOR,0.5857,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,16,green,7388902,WRONG_DISTRACTOR,0.8685,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,16,green,7388902,WRONG_DISTRACTOR,0.8556,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,17,crimson,1159943,CORRECT,0.841,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,17,crimson,1159943,WRONG_DISTRACTOR,0.7773,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,17,crimson,1159943,CORRECT,0.8459,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,17,crimson,1159943,WRONG_DISTRACTOR,0.8386,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,18,white,8070402,CORRECT,0.9553,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,18,white,8070402,WRONG_DISTRACTOR,0.6404,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,18,white,8070402,CORRECT,0.9394,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,18,white,8070402,WRONG_DISTRACTOR,0.9319,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,19,black,8977885,WRONG_DISTRACTOR,0.931,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,19,black,8977885,WRONG_DISTRACTOR,0.6686,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,19,black,8977885,WRONG_DISTRACTOR,0.9445,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,19,black,8977885,WRONG_DISTRACTOR,0.9099,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,20,maroon,1920912,CORRECT,0.9527,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,20,maroon,1920912,CORRECT,0.7322,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,20,maroon,1920912,CORRECT,0.9355,
Qwen/Qwen2.5-3B,implicit,gate0,abl_CD,20,maroon,1920912,WRONG_DISTRACTOR,0.919,
Qwen/Qwen2.5-3B,implicit,gate0,baseline,21,olive,6261778,WRONG_DISTRACTOR,0.934,
Qwen/Qwen2.5-3B,implicit,gate0,abl_AB,21,olive,6261778,WRONG_DISTRACTOR,0.6967,
Qwen/Qwen2.5-3B,implicit,gate0,abl_BC,21,olive,6261778,WRONG_DISTRACTOR,0.9341,
